Date : 2023-09-21 09:14:59
Directory : /Users/ayaanzaveri/Code/cognite
Total : 115 files,  20824 codes, 132 comments, 2678 blanks, all 23634 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ayaanzaveri/Code/cognite/lib/prompts.ts                                                    | TypeScript         |         56 |          0 |          7 |         63 |
| /Users/ayaanzaveri/Code/cognite/lib/session.ts                                                    | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/ayaanzaveri/Code/cognite/lib/stripe.ts                                                     | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/ayaanzaveri/Code/cognite/lib/subscription.ts                                               | TypeScript         |         45 |          0 |          8 |         53 |
| /Users/ayaanzaveri/Code/cognite/lib/utils.ts                                                      | TypeScript         |         53 |          0 |          6 |         59 |
| /Users/ayaanzaveri/Code/cognite/lib/validations/stripe.ts                                         | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/ayaanzaveri/Code/cognite/middleware.ts                                                     | TypeScript         |         36 |          1 |          9 |         46 |
| /Users/ayaanzaveri/Code/cognite/next.config.js                                                    | JavaScript         |         38 |          1 |          3 |         42 |
| /Users/ayaanzaveri/Code/cognite/package.json                                                      | JSON               |        111 |          0 |          1 |        112 |
| /Users/ayaanzaveri/Code/cognite/pnpm-lock.yaml                                                    | YAML               |     14,405 |          0 |      1,828 |     16,233 |
| /Users/ayaanzaveri/Code/cognite/postcss.config.js                                                 | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/ayaanzaveri/Code/cognite/prettier.config.js                                                | JavaScript         |          3 |          0 |          0 |          3 |
| /Users/ayaanzaveri/Code/cognite/prisma/migrations/20230709021220_init/migration.sql               | SQL                |         55 |         14 |         18 |         87 |
| /Users/ayaanzaveri/Code/cognite/prisma/migrations/20230710000637_embeddings/migration.sql         | SQL                |         16 |          9 |          4 |         29 |
| /Users/ayaanzaveri/Code/cognite/prisma/migrations/20230719011809_add_username_field/migration.sql | SQL                |         17 |         18 |          7 |         42 |
| /Users/ayaanzaveri/Code/cognite/prisma/migrations/20230719130257_restart/migration.sql            | SQL                |          4 |          9 |          3 |         16 |
| /Users/ayaanzaveri/Code/cognite/prisma/schema.prisma                                              | Prisma             |         81 |          0 |         12 |         93 |
| /Users/ayaanzaveri/Code/cognite/public/next.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| /Users/ayaanzaveri/Code/cognite/public/vercel.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| /Users/ayaanzaveri/Code/cognite/scraped.json                                                      | JSON               |          0 |          0 |          1 |          1 |
| /Users/ayaanzaveri/Code/cognite/sst-env.d.ts                                                      | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/ayaanzaveri/Code/cognite/sst.config.ts                                                     | TypeScript         |         60 |          0 |          3 |         63 |
| /Users/ayaanzaveri/Code/cognite/tailwind.config.js                                                | JavaScript         |         75 |          1 |          0 |         76 |
| /Users/ayaanzaveri/Code/cognite/tsconfig.json                                                     | JSON with Comments |         32 |          4 |          1 |         37 |
| /Users/ayaanzaveri/Code/cognite/types/index.ts                                                    | TypeScript         |         56 |          0 |          8 |         64 |
