"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "YAML", "Markdown", "TypeScript JSX", "XML", "Prisma", "SQL", "PostCSS", "comment", "blank", "total"
"/Users/ayaanzaveri/Code/cognite/components/ListCogs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 6, 38
"/Users/ayaanzaveri/Code/cognite/components/Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"/Users/ayaanzaveri/Code/cognite/components/ModeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"/Users/ayaanzaveri/Code/cognite/components/QuickCreate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 3, 37, 339
"/Users/ayaanzaveri/Code/cognite/components/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 6, 123
"/Users/ayaanzaveri/Code/cognite/components/ToastButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/ayaanzaveri/Code/cognite/components/UserHoverCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 5, 54
"/Users/ayaanzaveri/Code/cognite/components/buttons/LoginButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 44
"/Users/ayaanzaveri/Code/cognite/components/cog/Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 6, 83
"/Users/ayaanzaveri/Code/cognite/components/forms/create-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 13, 49, 562
"/Users/ayaanzaveri/Code/cognite/components/forms/manage-store-subscription-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 9, 66
"/Users/ayaanzaveri/Code/cognite/components/forms/profile-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 12, 149
"/Users/ayaanzaveri/Code/cognite/components/me/Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 14, 203
"/Users/ayaanzaveri/Code/cognite/components/search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 1, 10, 126
"/Users/ayaanzaveri/Code/cognite/components/shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/ayaanzaveri/Code/cognite/components/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/ayaanzaveri/Code/cognite/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 15, 146
"/Users/ayaanzaveri/Code/cognite/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"/Users/ayaanzaveri/Code/cognite/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/ayaanzaveri/Code/cognite/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"/Users/ayaanzaveri/Code/cognite/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 6, 65
"/Users/ayaanzaveri/Code/cognite/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 9, 87
"/Users/ayaanzaveri/Code/cognite/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 20, 157
"/Users/ayaanzaveri/Code/cognite/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 19, 201
"/Users/ayaanzaveri/Code/cognite/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 13, 124
"/Users/ayaanzaveri/Code/cognite/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 19, 201
